svclebe01v
id,name,SCSI_id,vdisk_id,vdisk_name,vdisk_UID
5,LEB6000_PSC4815,3,15,MBG6000_SHARED_DAT_RVOL001_FC001,60050768018186BB6800000000000022
5,LEB6000_PSC4815,5,17,MBG6000_SHARED_DAT_RVOL003_FC001,60050768018186BB6800000000000024
5,LEB6000_PSC4815,7,19,MBG6000_SHARED_DAT_RVOL005_FC001,60050768018186BB6800000000000026
5,LEB6000_PSC4815,9,21,MBG6000_SHARED_DAT_RVOL007_FC001,60050768018186BB6800000000000028
5,LEB6000_PSC4815,11,23,MBG6000_SHARED_DAT_RVOL009_FC001,60050768018186BB680000000000002A
5,LEB6000_PSC4815,13,25,MBG6000_SHARED_DAT_RVOL011_FC001,60050768018186BB680000000000002C
5,LEB6000_PSC4815,15,51,MBG6000_SHARED_DAT_RVOL012_FC001,60050768018186BB680000000000004B
5,LEB6000_PSC4815,17,53,MBG6000_SHARED_DAT_RVOL014_FC001,60050768018186BB680000000000004D
5,LEB6000_PSC4815,19,55,MBG6000_SHARED_DAT_RVOL016_FC001,60050768018186BB680000000000004F
5,LEB6000_PSC4815,4,16,MBG6000_SHARED_DAT_RVOL002_FC001,60050768018186BB6800000000000023
5,LEB6000_PSC4815,6,18,MBG6000_SHARED_DAT_RVOL004_FC001,60050768018186BB6800000000000025
5,LEB6000_PSC4815,8,20,MBG6000_SHARED_DAT_RVOL006_FC001,60050768018186BB6800000000000027
5,LEB6000_PSC4815,10,22,MBG6000_SHARED_DAT_RVOL008_FC001,60050768018186BB6800000000000029
5,LEB6000_PSC4815,12,24,MBG6000_SHARED_DAT_RVOL010_FC001,60050768018186BB680000000000002B
5,LEB6000_PSC4815,14,42,LEB6000_PSC4815_DAT_xvol001,60050768018186BB6800000000000041
5,LEB6000_PSC4815,16,52,MBG6000_SHARED_DAT_RVOL013_FC001,60050768018186BB680000000000004C
5,LEB6000_PSC4815,18,54,MBG6000_SHARED_DAT_RVOL015_FC001,60050768018186BB680000000000004E
5,LEB6000_PSC4815,20,56,MBG6000_SHARED_DAT_RVOL017_FC001,60050768018186BB6800000000000050
6,LEB6000_PSC4816,0,12,LEB6000_SHARED_QUO_XVOL001,60050768018186BB680000000000001F
6,LEB6000_PSC4816,1,13,LEB6000_SHARED_QUO_XVOL002,60050768018186BB6800000000000020
6,LEB6000_PSC4816,2,14,LEB6000_SHARED_QUO_XVOL003,60050768018186BB6800000000000021
6,LEB6000_PSC4816,3,15,MBG6000_SHARED_DAT_RVOL001_FC001,60050768018186BB6800000000000022
6,LEB6000_PSC4816,5,17,MBG6000_SHARED_DAT_RVOL003_FC001,60050768018186BB6800000000000024
6,LEB6000_PSC4816,7,19,MBG6000_SHARED_DAT_RVOL005_FC001,60050768018186BB6800000000000026
6,LEB6000_PSC4816,9,21,MBG6000_SHARED_DAT_RVOL007_FC001,60050768018186BB6800000000000028
6,LEB6000_PSC4816,11,23,MBG6000_SHARED_DAT_RVOL009_FC001,60050768018186BB680000000000002A
6,LEB6000_PSC4816,13,25,MBG6000_SHARED_DAT_RVOL011_FC001,60050768018186BB680000000000002C
6,LEB6000_PSC4816,15,51,MBG6000_SHARED_DAT_RVOL012_FC001,60050768018186BB680000000000004B
6,LEB6000_PSC4816,17,53,MBG6000_SHARED_DAT_RVOL014_FC001,60050768018186BB680000000000004D
6,LEB6000_PSC4816,19,55,MBG6000_SHARED_DAT_RVOL016_FC001,60050768018186BB680000000000004F
6,LEB6000_PSC4816,4,16,MBG6000_SHARED_DAT_RVOL002_FC001,60050768018186BB6800000000000023
6,LEB6000_PSC4816,6,18,MBG6000_SHARED_DAT_RVOL004_FC001,60050768018186BB6800000000000025
6,LEB6000_PSC4816,8,20,MBG6000_SHARED_DAT_RVOL006_FC001,60050768018186BB6800000000000027
6,LEB6000_PSC4816,10,22,MBG6000_SHARED_DAT_RVOL008_FC001,60050768018186BB6800000000000029
6,LEB6000_PSC4816,12,24,MBG6000_SHARED_DAT_RVOL010_FC001,60050768018186BB680000000000002B
6,LEB6000_PSC4816,14,43,LEB6000_PSC4816_DAT_xvol001,60050768018186BB6800000000000042
6,LEB6000_PSC4816,16,52,MBG6000_SHARED_DAT_RVOL013_FC001,60050768018186BB680000000000004C
6,LEB6000_PSC4816,18,54,MBG6000_SHARED_DAT_RVOL015_FC001,60050768018186BB680000000000004E
6,LEB6000_PSC4816,20,56,MBG6000_SHARED_DAT_RVOL017_FC001,60050768018186BB6800000000000050
7,LEB0001_RETLEBESX300,0,0,LEB0001_SHARED_ESX_XVOL009,60050768018186BB6800000000000013
7,LEB0001_RETLEBESX300,5,36,LEB0001_SHARED_ESX_XVOL003,60050768018186BB6800000000000039
7,LEB0001_RETLEBESX300,6,37,LEB0001_SHARED_ESX_XVOL004,60050768018186BB680000000000003A
7,LEB0001_RETLEBESX300,7,38,LEB0001_SHARED_ESX_XVOL006,60050768018186BB680000000000003C
7,LEB0001_RETLEBESX300,9,57,MBG_LEB_STAGE_ESX_XVOL001,60050768018186BB6800000000000051
7,LEB0001_RETLEBESX300,10,39,LEB0001_SHARED_ESX_XVOL010,60050768018186BB680000000000005C
7,LEB0001_RETLEBESX300,11,66,LEB0001_MIGRATE_ESX_RVOL003,60050768018186BB6800000000000068
7,LEB0001_RETLEBESX300,0,65,LEB0001_MIGRATE_ESX_RVOL002,60050768018186BB6800000000000067
7,LEB0001_RETLEBESX300,1,26,LEB0001_SHARED_ESX_XVOL008,60050768018186BB680000000000002D
7,LEB0001_RETLEBESX300,2,64,LEB0001_SHARED_ESX_RVOL001,60050768018186BB6800000000000066
7,LEB0001_RETLEBESX300,3,34,LEB0001_SHARED_ESX_XVOL001,60050768018186BB6800000000000037
7,LEB0001_RETLEBESX300,4,35,LEB0001_SHARED_ESX_XVOL002,60050768018186BB6800000000000038
7,LEB0001_RETLEBESX300,5,67,LEB0001_MIGRATE_ESX_RVOL004,60050768018186BB6800000000000069
7,LEB0001_RETLEBESX300,6,68,LEB0001_MIGRATE_ESX_RVOL005,60050768018186BB680000000000006A
7,LEB0001_RETLEBESX300,8,28,LEB0001_SHARED_ESX_XVOL007,60050768018186BB680000000000003D
7,LEB0001_RETLEBESX300,12,69,LEB0001_MIGRATE_ESX_RVOL006,60050768018186BB680000000000006B
8,LEB0001_RETLEBESX301,0,0,LEB0001_SHARED_ESX_XVOL009,60050768018186BB6800000000000013
8,LEB0001_RETLEBESX301,5,36,LEB0001_SHARED_ESX_XVOL003,60050768018186BB6800000000000039
8,LEB0001_RETLEBESX301,6,37,LEB0001_SHARED_ESX_XVOL004,60050768018186BB680000000000003A
8,LEB0001_RETLEBESX301,7,38,LEB0001_SHARED_ESX_XVOL006,60050768018186BB680000000000003C
8,LEB0001_RETLEBESX301,9,39,LEB0001_SHARED_ESX_XVOL010,60050768018186BB680000000000005C
8,LEB0001_RETLEBESX301,10,66,LEB0001_MIGRATE_ESX_RVOL003,60050768018186BB6800000000000068
8,LEB0001_RETLEBESX301,0,65,LEB0001_MIGRATE_ESX_RVOL002,60050768018186BB6800000000000067
8,LEB0001_RETLEBESX301,1,26,LEB0001_SHARED_ESX_XVOL008,60050768018186BB680000000000002D
8,LEB0001_RETLEBESX301,2,64,LEB0001_SHARED_ESX_RVOL001,60050768018186BB6800000000000066
8,LEB0001_RETLEBESX301,3,34,LEB0001_SHARED_ESX_XVOL001,60050768018186BB6800000000000037
8,LEB0001_RETLEBESX301,4,35,LEB0001_SHARED_ESX_XVOL002,60050768018186BB6800000000000038
8,LEB0001_RETLEBESX301,5,67,LEB0001_MIGRATE_ESX_RVOL004,60050768018186BB6800000000000069
8,LEB0001_RETLEBESX301,6,68,LEB0001_MIGRATE_ESX_RVOL005,60050768018186BB680000000000006A
8,LEB0001_RETLEBESX301,8,28,LEB0001_SHARED_ESX_XVOL007,60050768018186BB680000000000003D
8,LEB0001_RETLEBESX301,11,69,LEB0001_MIGRATE_ESX_RVOL006,60050768018186BB680000000000006B
9,LEB0001_RETLEBESX302,0,0,LEB0001_SHARED_ESX_XVOL009,60050768018186BB6800000000000013
9,LEB0001_RETLEBESX302,5,36,LEB0001_SHARED_ESX_XVOL003,60050768018186BB6800000000000039
9,LEB0001_RETLEBESX302,6,37,LEB0001_SHARED_ESX_XVOL004,60050768018186BB680000000000003A
9,LEB0001_RETLEBESX302,7,38,LEB0001_SHARED_ESX_XVOL006,60050768018186BB680000000000003C
9,LEB0001_RETLEBESX302,9,39,LEB0001_SHARED_ESX_XVOL010,60050768018186BB680000000000005C
9,LEB0001_RETLEBESX302,10,66,LEB0001_MIGRATE_ESX_RVOL003,60050768018186BB6800000000000068
9,LEB0001_RETLEBESX302,0,65,LEB0001_MIGRATE_ESX_RVOL002,60050768018186BB6800000000000067
9,LEB0001_RETLEBESX302,1,26,LEB0001_SHARED_ESX_XVOL008,60050768018186BB680000000000002D
9,LEB0001_RETLEBESX302,2,64,LEB0001_SHARED_ESX_RVOL001,60050768018186BB6800000000000066
9,LEB0001_RETLEBESX302,3,34,LEB0001_SHARED_ESX_XVOL001,60050768018186BB6800000000000037
9,LEB0001_RETLEBESX302,4,35,LEB0001_SHARED_ESX_XVOL002,60050768018186BB6800000000000038
9,LEB0001_RETLEBESX302,5,67,LEB0001_MIGRATE_ESX_RVOL004,60050768018186BB6800000000000069
9,LEB0001_RETLEBESX302,6,68,LEB0001_MIGRATE_ESX_RVOL005,60050768018186BB680000000000006A
9,LEB0001_RETLEBESX302,8,28,LEB0001_SHARED_ESX_XVOL007,60050768018186BB680000000000003D
9,LEB0001_RETLEBESX302,11,69,LEB0001_MIGRATE_ESX_RVOL006,60050768018186BB680000000000006B
10,LEB0001_RETLEBESX303,0,0,LEB0001_SHARED_ESX_XVOL009,60050768018186BB6800000000000013
10,LEB0001_RETLEBESX303,5,36,LEB0001_SHARED_ESX_XVOL003,60050768018186BB6800000000000039
10,LEB0001_RETLEBESX303,6,37,LEB0001_SHARED_ESX_XVOL004,60050768018186BB680000000000003A
10,LEB0001_RETLEBESX303,7,38,LEB0001_SHARED_ESX_XVOL006,60050768018186BB680000000000003C
10,LEB0001_RETLEBESX303,9,39,LEB0001_SHARED_ESX_XVOL010,60050768018186BB680000000000005C
10,LEB0001_RETLEBESX303,10,66,LEB0001_MIGRATE_ESX_RVOL003,60050768018186BB6800000000000068
10,LEB0001_RETLEBESX303,0,65,LEB0001_MIGRATE_ESX_RVOL002,60050768018186BB6800000000000067
10,LEB0001_RETLEBESX303,1,26,LEB0001_SHARED_ESX_XVOL008,60050768018186BB680000000000002D
10,LEB0001_RETLEBESX303,2,64,LEB0001_SHARED_ESX_RVOL001,60050768018186BB6800000000000066
10,LEB0001_RETLEBESX303,3,34,LEB0001_SHARED_ESX_XVOL001,60050768018186BB6800000000000037
10,LEB0001_RETLEBESX303,4,35,LEB0001_SHARED_ESX_XVOL002,60050768018186BB6800000000000038
10,LEB0001_RETLEBESX303,5,67,LEB0001_MIGRATE_ESX_RVOL004,60050768018186BB6800000000000069
10,LEB0001_RETLEBESX303,6,68,LEB0001_MIGRATE_ESX_RVOL005,60050768018186BB680000000000006A
10,LEB0001_RETLEBESX303,8,28,LEB0001_SHARED_ESX_XVOL007,60050768018186BB680000000000003D
10,LEB0001_RETLEBESX303,11,69,LEB0001_MIGRATE_ESX_RVOL006,60050768018186BB680000000000006B
11,LEB0002_RETLEBESX200,3,32,LEB0002_SHARED_ESX_XVOL004,60050768018186BB6800000000000035
11,LEB0002_RETLEBESX200,4,33,LEB0002_SHARED_ESX_XVOL005,60050768018186BB6800000000000036
11,LEB0002_RETLEBESX200,0,29,LEB0002_SHARED_ESX_XVOL001,60050768018186BB6800000000000030
11,LEB0002_RETLEBESX200,1,30,LEB0002_SHARED_ESX_XVOL002,60050768018186BB6800000000000033
11,LEB0002_RETLEBESX200,2,31,LEB0002_SHARED_ESX_XVOL003,60050768018186BB6800000000000034
12,LEB0002_RETLEBESX201,3,32,LEB0002_SHARED_ESX_XVOL004,60050768018186BB6800000000000035
12,LEB0002_RETLEBESX201,4,33,LEB0002_SHARED_ESX_XVOL005,60050768018186BB6800000000000036
12,LEB0002_RETLEBESX201,0,29,LEB0002_SHARED_ESX_XVOL001,60050768018186BB6800000000000030
12,LEB0002_RETLEBESX201,1,30,LEB0002_SHARED_ESX_XVOL002,60050768018186BB6800000000000033
12,LEB0002_RETLEBESX201,2,31,LEB0002_SHARED_ESX_XVOL003,60050768018186BB6800000000000034
13,LEB0002_RETLEBESX202,3,32,LEB0002_SHARED_ESX_XVOL004,60050768018186BB6800000000000035
13,LEB0002_RETLEBESX202,4,33,LEB0002_SHARED_ESX_XVOL005,60050768018186BB6800000000000036
13,LEB0002_RETLEBESX202,0,29,LEB0002_SHARED_ESX_XVOL001,60050768018186BB6800000000000030
13,LEB0002_RETLEBESX202,1,30,LEB0002_SHARED_ESX_XVOL002,60050768018186BB6800000000000033
13,LEB0002_RETLEBESX202,2,31,LEB0002_SHARED_ESX_XVOL003,60050768018186BB6800000000000034
14,LEB6001_RETLEBESX700,0,27,LEB6001_SHARED_ESX_RVOL001,60050768018186BB680000000000005E
14,LEB6001_RETLEBESX700,1,58,LEB6001_SHARED_ESX_RVOL002,60050768018186BB680000000000005F
14,LEB6001_RETLEBESX700,2,59,LEB6001_SHARED_ESX_RVOL003,60050768018186BB6800000000000060
14,LEB6001_RETLEBESX700,3,60,LEB6001_SHARED_ESX_RVOL004,60050768018186BB6800000000000061
14,LEB6001_RETLEBESX700,4,61,LEB6001_SHARED_ESX_RVOL005,60050768018186BB6800000000000062
