SVCOXFC01V
id,name,SCSI_id,vdisk_id,vdisk_name,vdisk_UID,IO_group_id,IO_group_name
4,oxcldm86c_DATA,30,57,oxcldm86c_oxdora77-d6,600507680181072C700000000000004C,0,iogrp1
4,oxcldm86c_DATA,31,58,oxcldm86c_oxdora77-d7,600507680181072C700000000000004D,0,iogrp1
4,oxcldm86c_DATA,32,59,oxcldm86c_oxdora77-d8,600507680181072C700000000000004E,0,iogrp1
4,oxcldm86c_DATA,33,48,oxcldm86c_oxcaps80-d1,600507680181072C7000000000000043,0,iogrp1
4,oxcldm86c_DATA,34,49,oxcldm86c_oxcaps80-d2,600507680181072C7000000000000044,0,iogrp1
4,oxcldm86c_DATA,35,50,oxcldm86c_oxcaps80-d3,600507680181072C7000000000000045,0,iogrp1
4,oxcldm86c_DATA,36,61,oxcldm86c_oxdaps61-d1,600507680181072C7000000000000052,0,iogrp1
4,oxcldm86c_DATA,37,62,oxcldm86c_oxtora55-d4,600507680181072C7000000000000053,0,iogrp1
4,oxcldm86c_DATA,38,63,oxcldm86c_oxtora55-d5,600507680181072C7000000000000054,0,iogrp1
4,oxcldm86c_DATA,39,64,oxcldm86c_oxtora55-d6,600507680181072C7000000000000055,0,iogrp1
4,oxcldm86c_DATA,40,65,oxcldm86c_oxtora55-d7,600507680181072C7000000000000056,0,iogrp1
4,oxcldm86c_DATA,41,66,oxcldm86c_oxtora55-d8,600507680181072C7000000000000057,0,iogrp1
4,oxcldm86c_DATA,42,68,oxcldm86c_oxdora55-d1,600507680181072C7000000000000059,0,iogrp1
4,oxcldm86c_DATA,43,69,oxcldm86c_oxdora55-d2,600507680181072C700000000000005A,0,iogrp1
4,oxcldm86c_DATA,44,70,oxcldm86c_oxdora55-d3,600507680181072C700000000000005B,0,iogrp1
4,oxcldm86c_DATA,45,71,oxcldm86c_oxdora55-d4,600507680181072C700000000000005C,0,iogrp1
4,oxcldm86c_DATA,46,73,oxcldm86c_oxdora80-d1,600507680181072C700000000000005E,0,iogrp1
4,oxcldm86c_DATA,47,75,oxcldm86c_oxcora55-d1,600507680181072C7000000000000061,0,iogrp1
4,oxcldm86c_DATA,48,76,oxcldm86c_oxcora55-d2,600507680181072C7000000000000062,0,iogrp1
4,oxcldm86c_DATA,49,77,oxcldm86c_oxcora55-d3,600507680181072C7000000000000063,0,iogrp1
4,oxcldm86c_DATA,50,78,oxcldm86c_oxcora55-d4,600507680181072C7000000000000064,0,iogrp1
4,oxcldm86c_DATA,51,79,oxcldm86c_oxtora79-d14,600507680181072C7000000000000065,0,iogrp1
4,oxcldm86c_DATA,52,81,oxcldm86c_cpdora20-d1,600507680181072C7000000000000067,0,iogrp1
4,oxcldm86c_DATA,53,82,oxcldm86c_cpdora20-d2,600507680181072C700000000000007C,0,iogrp1
4,oxcldm86c_DATA,54,83,oxcldm86c_cpdora20-d3,600507680181072C700000000000007D,0,iogrp1
4,oxcldm86c_DATA,55,84,oxcldm86c_cpdora20-d4,600507680181072C700000000000007E,0,iogrp1
4,oxcldm86c_DATA,56,85,oxcldm86c_cpdora20-d5,600507680181072C700000000000007F,0,iogrp1
4,oxcldm86c_DATA,57,86,oxcldm86c_cpdora20-d6,600507680181072C7000000000000080,0,iogrp1
4,oxcldm86c_DATA,58,87,oxcldm86c_cpdora20-d7,600507680181072C700000000000006D,0,iogrp1
4,oxcldm86c_DATA,59,88,oxcldm86c_cpdora20-d8,600507680181072C700000000000006E,0,iogrp1
4,oxcldm86c_DATA,60,89,oxcldm86c_cpdora20-d9,600507680181072C700000000000006F,0,iogrp1
4,oxcldm86c_DATA,61,90,oxcldm86c_cpdora20-d10,600507680181072C7000000000000070,0,iogrp1
4,oxcldm86c_DATA,62,91,oxcldm86c_cpdora20-d11,600507680181072C7000000000000071,0,iogrp1
