svclebc01v
id,name,SCSI_id,vdisk_id,vdisk_name,vdisk_UID,IO_group_id,IO_group_name
0,LEB0004_TPCLB4617,1,80,LEB0004_TPCLB4617_XVOL001,60050768018186BB900000000000005D,0,io_grp0
0,LEB0004_TPCLB4617,2,87,LEB0004_SHARED_QUO_XVOL001,60050768018186BB9000000000000064,0,io_grp0
0,LEB0004_TPCLB4617,3,88,LEB0004_SHARED_QUO_XVOL002,60050768018186BB9000000000000065,0,io_grp0
0,LEB0004_TPCLB4617,10,673,LEB0004_SHARED_DAT_XVOL006,60050768018186BB9000000000000392,0,io_grp0
0,LEB0004_TPCLB4617,11,674,LEB0004_SHARED_DAT_XVOL007,60050768018186BB9000000000000393,0,io_grp0
0,LEB0004_TPCLB4617,4,89,LEB0004_SHARED_QUO_XVOL003,60050768018186BB9000000000000066,1,io_grp1
0,LEB0004_TPCLB4617,5,82,LEB0004_SHARED_DAT_XVOL001,60050768018186BB900000000000005F,1,io_grp1
0,LEB0004_TPCLB4617,6,83,LEB0004_SHARED_DAT_XVOL002,60050768018186BB9000000000000060,1,io_grp1
0,LEB0004_TPCLB4617,7,84,LEB0004_SHARED_DAT_XVOL003,60050768018186BB9000000000000061,1,io_grp1
0,LEB0004_TPCLB4617,8,85,LEB0004_SHARED_DAT_XVOL004,60050768018186BB9000000000000062,1,io_grp1
0,LEB0004_TPCLB4617,9,86,LEB0004_SHARED_DAT_XVOL005,60050768018186BB9000000000000063,1,io_grp1
1,LEB0003_TPCLB44602,0,0,LEB0003_TPCLB44602_XVOL001,60050768018186BB9000000000000001,0,io_grp0
1,LEB0003_TPCLB44602,1,2,LEB0003_SHARED_QUO_XVOL001,60050768018186BB9000000000000003,0,io_grp0
1,LEB0003_TPCLB44602,3,4,LEB0003_SHARED_QUO_XVOL003,60050768018186BB9000000000000005,0,io_grp0
1,LEB0003_TPCLB44602,5,6,LEB0003_SHARED_DAT_XVOL002,60050768018186BB9000000000000007,0,io_grp0
1,LEB0003_TPCLB44602,7,665,LEB0003_SHARED_DAT_XVOL004,60050768018186BB900000000000038A,0,io_grp0
1,LEB0003_TPCLB44602,8,666,LEB0003_SHARED_DAT_XVOL005,60050768018186BB900000000000038B,0,io_grp0
1,LEB0003_TPCLB44602,2,3,LEB0003_SHARED_QUO_XVOL002,60050768018186BB9000000000000004,1,io_grp1
1,LEB0003_TPCLB44602,4,5,LEB0003_SHARED_DAT_XVOL001,60050768018186BB9000000000000006,1,io_grp1
1,LEB0003_TPCLB44602,6,7,LEB0003_SHARED_DAT_XVOL003,60050768018186BB9000000000000008,1,io_grp1
2,LEB0003_TPCLB44603,1,2,LEB0003_SHARED_QUO_XVOL001,60050768018186BB9000000000000003,0,io_grp0
2,LEB0003_TPCLB44603,3,4,LEB0003_SHARED_QUO_XVOL003,60050768018186BB9000000000000005,0,io_grp0
2,LEB0003_TPCLB44603,5,6,LEB0003_SHARED_DAT_XVOL002,60050768018186BB9000000000000007,0,io_grp0
2,LEB0003_TPCLB44603,7,665,LEB0003_SHARED_DAT_XVOL004,60050768018186BB900000000000038A,0,io_grp0
2,LEB0003_TPCLB44603,8,666,LEB0003_SHARED_DAT_XVOL005,60050768018186BB900000000000038B,0,io_grp0
2,LEB0003_TPCLB44603,0,1,LEB0003_TPCLB44603_XVOL002,60050768018186BB9000000000000002,1,io_grp1
2,LEB0003_TPCLB44603,2,3,LEB0003_SHARED_QUO_XVOL002,60050768018186BB9000000000000004,1,io_grp1
2,LEB0003_TPCLB44603,4,5,LEB0003_SHARED_DAT_XVOL001,60050768018186BB9000000000000006,1,io_grp1
2,LEB0003_TPCLB44603,6,7,LEB0003_SHARED_DAT_XVOL003,60050768018186BB9000000000000008,1,io_grp1
3,LEB0010_TPDBLB44566,1,22,LEB0010_TPDBLB44566_DAT_XVOL001,60050768018186BB9000000000000017,0,io_grp0
3,LEB0010_TPDBLB44566,3,20,LEB0010_TPDBLB44566_DAT_XVOL003,60050768018186BB9000000000000015,0,io_grp0
3,LEB0010_TPDBLB44566,5,18,LEB0010_TPDBLB44566_DAT_XVOL005,60050768018186BB9000000000000013,0,io_grp0
3,LEB0010_TPDBLB44566,7,16,LEB0010_TPDBLB44566_DAT_XVOL007,60050768018186BB9000000000000011,0,io_grp0
3,LEB0010_TPDBLB44566,9,14,LEB0010_TPDBLB44566_ARC_XVOL002,60050768018186BB900000000000000F,0,io_grp0
