svcmbgt01v
id,name,SCSI_id,vdisk_id,vdisk_name,vdisk_UID,IO_group_id,IO_group_name
1,MBG0004_RETSITALAB01,0,183,MBG0004_SHARED_ESX_XVOL001,60050768018485254800000000000100,0,io_grp0
1,MBG0004_RETSITALAB01,2,185,MBG0004_SHARED_ESX_XVOL003,60050768018485254800000000000102,0,io_grp0
1,MBG0004_RETSITALAB01,4,187,MBG0004_SHARED_ESX_XVOL005,60050768018485254800000000000109,0,io_grp0
1,MBG0004_RETSITALAB01,6,189,MBG0004_SHARED_ESX_XVOL007,6005076801848525480000000000010B,0,io_grp0
1,MBG0004_RETSITALAB01,8,195,MBG0004_SHARED_ESX_XVOL013,60050768018485254800000000000111,0,io_grp0
1,MBG0004_RETSITALAB01,10,197,MBG0004_SHARED_ESX_XVOL015,60050768018485254800000000000113,0,io_grp0
1,MBG0004_RETSITALAB01,12,199,MBG0004_SHARED_ESX_XVOL017,60050768018485254800000000000115,0,io_grp0
1,MBG0004_RETSITALAB01,14,201,MBG0004_SHARED_ESX_XVOL019,60050768018485254800000000000117,0,io_grp0
1,MBG0004_RETSITALAB01,16,216,MBG0004_SHARED_EVAL-4TB_XVOL023,6005076801848525480000000000012A,0,io_grp0
1,MBG0004_RETSITALAB01,21,191,MBG0004_SHARED_ESX_XVOL009,6005076801848525480000000000010D,0,io_grp0
1,MBG0004_RETSITALAB01,22,193,MBG0004_SHARED_ESX_XVOL011,6005076801848525480000000000010F,0,io_grp0
1,MBG0004_RETSITALAB01,23,265,MBG0004_SHARED_EVAL-3PAR_XVOL021,600507680184852548000000000009B8,0,io_grp0
1,MBG0004_RETSITALAB01,1,184,MBG0004_SHARED_ESX_XVOL002,60050768018485254800000000000101,1,io_grp1
1,MBG0004_RETSITALAB01,3,186,MBG0004_SHARED_ESX_XVOL004,60050768018485254800000000000103,1,io_grp1
1,MBG0004_RETSITALAB01,5,188,MBG0004_SHARED_ESX_XVOL006,6005076801848525480000000000010A,1,io_grp1
1,MBG0004_RETSITALAB01,7,194,MBG0004_SHARED_ESX_XVOL012,60050768018485254800000000000110,1,io_grp1
1,MBG0004_RETSITALAB01,9,196,MBG0004_SHARED_ESX_XVOL014,60050768018485254800000000000112,1,io_grp1
1,MBG0004_RETSITALAB01,11,198,MBG0004_SHARED_ESX_XVOL016,60050768018485254800000000000114,1,io_grp1
1,MBG0004_RETSITALAB01,13,200,MBG0004_SHARED_ESX_XVOL018,60050768018485254800000000000116,1,io_grp1
1,MBG0004_RETSITALAB01,15,202,MBG0004_SHARED_ESX_XVOL020,60050768018485254800000000000118,1,io_grp1
1,MBG0004_RETSITALAB01,17,217,MBG0004_SHARED_EVAL-4TB_XVOL024,6005076801848525480000000000012B,1,io_grp1
1,MBG0004_RETSITALAB01,18,205,MBG0005_SHARED_ESX_XVOL003,6005076801848525480000000000011C,1,io_grp1
1,MBG0004_RETSITALAB01,19,190,MBG0004_SHARED_ESX_XVOL008,6005076801848525480000000000010C,1,io_grp1
1,MBG0004_RETSITALAB01,20,192,MBG0004_SHARED_ESX_XVOL010,6005076801848525480000000000010E,1,io_grp1
2,MBG0001_ILABESX01,0,0,MBG0001_SHARED_ESX-ILAB_XVOL0151,60050768018485254800000000000012,0,io_grp0
2,MBG0001_ILABESX01,2,2,MBG0001_SHARED_ESX-ILAB_XVOL0153,60050768018485254800000000000016,0,io_grp0
2,MBG0001_ILABESX01,4,4,MBG0001_SHARED_ESX-ILAB_XVOL0001,60050768018485254800000000000018,0,io_grp0
2,MBG0001_ILABESX01,6,6,MBG0001_SHARED_ESX-ILAB_XVOL0155,6005076801848525480000000000001A,0,io_grp0
2,MBG0001_ILABESX01,8,8,MBG0001_SHARED_ESX-ILAB_XVOL0126,6005076801848525480000000000001C,0,io_grp0
2,MBG0001_ILABESX01,10,10,MBG0001_SHARED_ESX-ILAB_XVOL0056,60050768018485254800000000000020,0,io_grp0
2,MBG0001_ILABESX01,11,11,MBG0001_SHARED_ESX-ILAB_XVOL0057,60050768018485254800000000000021,0,io_grp0
2,MBG0001_ILABESX01,14,14,MBG0001_SHARED_ESX-ILAB_XVOL0060,60050768018485254800000000000024,0,io_grp0
2,MBG0001_ILABESX01,15,15,MBG0001_SHARED_ESX-ILAB_XVOL0061,60050768018485254800000000000025,0,io_grp0
2,MBG0001_ILABESX01,18,18,MBG0001_SHARED_ESX-ILAB_XVOL0064,60050768018485254800000000000028,0,io_grp0
2,MBG0001_ILABESX01,19,19,MBG0001_SHARED_ESX-ILAB_XVOL0065,60050768018485254800000000000029,0,io_grp0
2,MBG0001_ILABESX01,22,22,MBG0001_SHARED_ESX-ILAB_XVOL0068,6005076801848525480000000000002C,0,io_grp0
2,MBG0001_ILABESX01,23,23,MBG0001_SHARED_ESX-ILAB_XVOL0069,6005076801848525480000000000002D,0,io_grp0
2,MBG0001_ILABESX01,24,24,MBG0001_SHARED_ESX-ILAB_XVOL0077,6005076801848525480000000000002E,0,io_grp0
2,MBG0001_ILABESX01,28,28,MBG0001_SHARED_ESX-ILAB_XVOL0081,60050768018485254800000000000032,0,io_grp0
2,MBG0001_ILABESX01,29,29,MBG0001_SHARED_ESX-ILAB_XVOL0002,60050768018485254800000000000033,0,io_grp0
2,MBG0001_ILABESX01,30,30,MBG0001_SHARED_ESX-ILAB_XVOL0003,60050768018485254800000000000034,0,io_grp0
2,MBG0001_ILABESX01,36,36,MBG0001_SHARED_ESX-ILAB_XVOL0009,60050768018485254800000000000040,0,io_grp0
2,MBG0001_ILABESX01,37,37,MBG0001_SHARED_ESX-ILAB_XVOL0010,60050768018485254800000000000041,0,io_grp0
2,MBG0001_ILABESX01,38,38,MBG0001_SHARED_ESX-ILAB_XVOL0011,60050768018485254800000000000042,0,io_grp0
2,MBG0001_ILABESX01,40,40,MBG0001_SHARED_ESX-ILAB_XVOL0013,60050768018485254800000000000044,0,io_grp0
2,MBG0001_ILABESX01,42,42,MBG0001_SHARED_ESX-ILAB_XVOL0022,60050768018485254800000000000046,0,io_grp0
2,MBG0001_ILABESX01,44,44,MBG0001_SHARED_ESX-ILAB_XVOL0024,60050768018485254800000000000049,0,io_grp0
2,MBG0001_ILABESX01,46,46,MBG0001_SHARED_ESX-ILAB_XVOL0070,6005076801848525480000000000004B,0,io_grp0
2,MBG0001_ILABESX01,48,48,MBG0001_SHARED_ESX-ILAB_XVOL0015,6005076801848525480000000000004D,0,io_grp0
2,MBG0001_ILABESX01,50,50,MBG0001_SHARED_ESX-ILAB_XVOL0017,6005076801848525480000000000004F,0,io_grp0
2,MBG0001_ILABESX01,52,52,MBG0001_SHARED_ESX-ILAB_XVOL0019,60050768018485254800000000000051,0,io_grp0
2,MBG0001_ILABESX01,54,54,MBG0001_SHARED_ESX-ILAB_XVOL0127,60050768018485254800000000000053,0,io_grp0
2,MBG0001_ILABESX01,56,56,MBG0001_SHARED_ESX-ILAB_XVOL0129,60050768018485254800000000000055,0,io_grp0
2,MBG0001_ILABESX01,58,58,MBG0001_SHARED_ESX-ILAB_XVOL0026,60050768018485254800000000000057,0,io_grp0
2,MBG0001_ILABESX01,59,59,MBG0001_SHARED_ESX-ILAB_XVOL0027,60050768018485254800000000000058,0,io_grp0
2,MBG0001_ILABESX01,62,62,MBG0001_SHARED_ESX-ILAB_XVOL0130,6005076801848525480000000000005B,0,io_grp0
2,MBG0001_ILABESX01,64,64,MBG0001_SHARED_ESX-ILAB_XVOL0031,6005076801848525480000000000005D,0,io_grp0
2,MBG0001_ILABESX01,66,66,MBG0001_SHARED_ESX-ILAB_XVOL0032,6005076801848525480000000000005F,0,io_grp0
2,MBG0001_ILABESX01,67,67,MBG0001_SHARED_ESX-ILAB_XVOL0132,60050768018485254800000000000060,0,io_grp0
2,MBG0001_ILABESX01,70,70,MBG0001_SHARED_ESX-ILAB_XVOL0036,60050768018485254800000000000063,0,io_grp0
