Server_Name	Storage_Device	Storage_Vol(GB)	Source	Tier
PSC3816	XIV_7820520	1343.857	svcmbge01v	T1
PSDB11531	VMAX_192605806_Pool_2	2178.180	svcmbge01v	T1
PSDB1199	VMAX_192605806_Pool_2	3012.370	svcmbge01v	T1
PSDB1570	VMAX_192605806_Pool_2	2981.335	svcmbge01v	T1
PSDB1571	VMAX_192605806_Pool_2	2981.335	svcmbge01v	T1
PSDB1A817	VMAX_192605806_Pool_1	660.185	svcmbge01v	T1
PSDB1A818	VMAX_192605806_Pool_1	660.185	svcmbge01v	T1
PSDB33553	XIV_7820520	1535.667	svcmbge01v	T1
PSDB33554	XIV_7820520	1535.667	svcmbge01v	T1
PSDB33555	XIV_7820520	1535.667	svcmbge01v	T1
PSDB33560	XIV_7820520	3451.667	svcmbge01v	T1
PSDB33561	XIV_7820520	3451.667	svcmbge01v	T1
PSDB33562	XIV_7820520	3451.667	svcmbge01v	T1
PSDB33568	XIV_7820520	1835.500	svcmbge01v	T1
PSDB33569	XIV_7820520	1835.500	svcmbge01v	T1
PSDB3500	VMAX_192605806_Pool_2	1807.650	svcmbge01v	T1
PSDB3547	many	7387.213	svcmbge01v	MissingValue
PSDB3548	many	7387.213	svcmbge01v	MissingValue
PSDB3549	many	7387.213	svcmbge01v	MissingValue
PSDB3581	VMAX_192605806_Pool_2	5425.950	svcmbge01v	T1
PSDB3582	VMAX_192605806_Pool_2	5425.950	svcmbge01v	T1
PSDB3591	VMAX_192605806_Pool_2	4099.955	svcmbge01v	T1
PSDB3592	VMAX_192605806_Pool_2	4099.955	svcmbge01v	T1
PSDB3600	VMAX_192605806_Pool_2	1468.200	svcmbge01v	T1
RENPDBSMHPROD02	XIV_7820623	2837.000	svcmbge01v	T1
RENPDBSMHPROD03	XIV_7820623	6837.000	svcmbge01v	T1
RENPDBSMHPROD03	XIV_7820520	2560.000	svcmbge01v	T1
RENPDBSMHPROD04	XIV_7820623	4437.000	svcmbge01v	T1
RENPDBSMHPROD05	XIV_7820623	2437.000	svcmbge01v	T1
RETDAYACAP003	XIV_7820520	3600.000	svcmbge01v	T1
RETDAYACAP004	XIV_7820520	3600.000	svcmbge01v	T1
RETDAYAPPP03P1	VNX_APM00125172990-FAST	450.244	svcmbge01v	T2
RETDAYAPPP03P2	VNX_APM00125172990-FAST	450.244	svcmbge01v	T2
RETDAYAPPP04P1	VNX_APM00125172990-FAST	450.244	svcmbge01v	T2
RETDAYAPPP04P2	VNX_APM00125172990-FAST	450.244	svcmbge01v	T2
RETDAYDATP002	XIV_7820520	3993.600	svcmbge01v	T1
RETDAYDATP002	XIV_7825620	1000.000	svcmbge01v	T1
RETDAYESX001	VNX_APM00125172990-FAST	798.720	svcmbge01v	T2
RETDAYESX002	VNX_APM00125172990-FAST	798.720	svcmbge01v	T2
RETDAYESX003	VNX_APM00125172990-FAST	798.720	svcmbge01v	T2
RETDAYESX004	VNX_APM00125172990-FAST	798.720	svcmbge01v	T2
RETDAYESX005	VNX_APM00125172990-FAST	798.720	svcmbge01v	T2
RETDAYESX010	XIV_6050013	4267.491	svcmbge01v	T1
RETDAYESX010	XIV_7820520	181.527	svcmbge01v	T1
RETDAYESX012	XIV_6050013	4267.491	svcmbge01v	T1
RETDAYESX012	XIV_7820520	181.527	svcmbge01v	T1
RETDAYESX018	XIV_6050013	4267.491	svcmbge01v	T1
