Server_Name	Storage_Device	Storage_Vol(GB)	Source	Tier
RETDAYSQLC12P1	VNX_APM00125172990-FAST-POOL-1	925.488	svcmbgc01v	T2
RETDAYSQLC12P2	VNX_APM00125172990-FAST-POOL-1	925.488	svcmbgc01v	T2
RETDAYSQLC15P1	VNX_APM00125172990-FAST-POOL-1	518.858	svcmbgc01v	T2
RETDAYSQLC15P2	VNX_APM00125172990-FAST-POOL-1	518.858	svcmbgc01v	T2
RETDAYSQLD004	VNX_APM00125172990-FAST-POOL-2	4500.000	svcmbgc01v	T2
SPC5616	V7K_8888	5500.000	svcmbgc01v	T2
SPM5590	VNX_APM00125172990-FAST-POOL-1	2048.000	svcmbgc01v	T2
T4-01-DC1-CL	V7K_8888	6660.000	svcmbgc01v	T2
T4-04-DC1	V7K_8888	6972.000	svcmbgc01v	T2
T4-05-DC1	V7K_8888	2594.280	svcmbgc01v	T2
T4-06-DC1	V7K_8888	7395.500	svcmbgc01v	T2
T4-07-DC1	V7K_8888	4645.500	svcmbgc01v	T2
TPDB3551	V7K_8888	5006.150	svcmbgc01v	T2
TPDB3552	V7K_8888	3179.620	svcmbgc01v	T2
TPDB3553	VNX_APM00125172990-FAST-POOL-2	10539.400	svcmbgc01v	T2
