Server_Name	Storage_Device	Storage_Vol(GB)	Source	Tier
RETSPRESX273	XIV_6050004	166.667	svcspre01v	T1
RETSPRESX274	XIV_6050025	1996.800	svcspre01v	T1
RETSPRESX274	VMAX_192605755-FAST-POOL-1	3909.973	svcspre01v	T1
RETSPRESX274	VMAX_192605755-FAST-POOL-2	998.400	svcspre01v	T1
RETSPRESX274	XIV_6050004	166.667	svcspre01v	T1
RETSPRESX275	VMAX_192605755-FAST-POOL-1	2745.600	svcspre01v	T1
RETSPRESX275	XIV_7820523	624.000	svcspre01v	T1
RETSPRESX276	VMAX_192605755-FAST-POOL-1	2745.600	svcspre01v	T1
RETSPRESX276	XIV_7820523	624.000	svcspre01v	T1
RETSPRESX277	VMAX_192605755-FAST-POOL-1	2745.600	svcspre01v	T1
RETSPRESX277	XIV_7820523	624.000	svcspre01v	T1
RETSPRESX278	VMAX_192605755-FAST-POOL-1	2745.600	svcspre01v	T1
RETSPRESX278	XIV_7820523	624.000	svcspre01v	T1
RETSPRESX333	XIV_6050025	1452.218	svcspre01v	T1
RETSPRESX333	XIV_6050004	1770.109	svcspre01v	T1
RETSPRESX333	VMAX_192605755-FAST-POOL-1	1545.920	svcspre01v	T1
RETSPRESX333	VMAX_192605755-FAST-POOL-2	544.582	svcspre01v	T1
RETSPRESX351	XIV_6050025	1452.218	svcspre01v	T1
RETSPRESX351	XIV_6050004	1770.109	svcspre01v	T1
RETSPRESX351	VMAX_192605755-FAST-POOL-1	1545.920	svcspre01v	T1
RETSPRESX351	XIV_7820523	1996.800	svcspre01v	T1
RETSPRESX351	VMAX_192605755-FAST-POOL-2	744.262	svcspre01v	T1
RETSPRESX352	XIV_6050025	1452.218	svcspre01v	T1
RETSPRESX352	XIV_6050004	1770.109	svcspre01v	T1
RETSPRESX352	VMAX_192605755-FAST-POOL-1	1545.920	svcspre01v	T1
RETSPRESX352	VMAX_192605755-FAST-POOL-2	744.262	svcspre01v	T1
RETSPRESX353	XIV_6050025	1452.218	svcspre01v	T1
RETSPRESX353	XIV_6050004	1770.109	svcspre01v	T1
RETSPRESX353	VMAX_192605755-FAST-POOL-1	1545.920	svcspre01v	T1
RETSPRESX353	VMAX_192605755-FAST-POOL-2	744.262	svcspre01v	T1
RETSPRESX354	XIV_6050025	1452.218	svcspre01v	T1
RETSPRESX354	XIV_6050004	1770.109	svcspre01v	T1
RETSPRESX354	VMAX_192605755-FAST-POOL-1	1545.920	svcspre01v	T1
RETSPRESX354	VMAX_192605755-FAST-POOL-2	744.262	svcspre01v	T1
RETSPRESX355	XIV_6050025	1452.218	svcspre01v	T1
RETSPRESX355	XIV_6050004	1770.109	svcspre01v	T1
RETSPRESX355	VMAX_192605755-FAST-POOL-1	1545.920	svcspre01v	T1
RETSPRESX355	VMAX_192605755-FAST-POOL-2	744.262	svcspre01v	T1
RETSPRESX356	XIV_6050025	1452.218	svcspre01v	T1
RETSPRESX356	XIV_6050004	1770.109	svcspre01v	T1
RETSPRESX356	VMAX_192605755-FAST-POOL-1	1545.920	svcspre01v	T1
RETSPRESX356	VMAX_192605755-FAST-POOL-2	744.262	svcspre01v	T1
RETSPRESX357	XIV_6050025	1452.218	svcspre01v	T1
RETSPRESX357	XIV_6050004	1770.109	svcspre01v	T1
RETSPRESX357	VMAX_192605755-FAST-POOL-1	1545.920	svcspre01v	T1
RETSPRESX357	VMAX_192605755-FAST-POOL-2	744.262	svcspre01v	T1
RETSPRESX358	XIV_6050025	1452.218	svcspre01v	T1
